ID,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2
03043,"BABYFOOD,DINNER,BF LASAGNA,TODD",82.3,77,4.2,2.1,1.4,10,,0,18,0.87,11,40,122,41,0.7,0.097,,8.4,1.9,0.072,0.089,1.353,,0.071,6,0,6,6,,0.51,1163,58,0,,,,,,,,,,,,,,28.35,1 oz,170,1 jar
03044,"BABYFOOD,DINNER,MACARONI&TOMATO&BF,STR",86.34,61,2.36,1.47,0.37,9.45,1.2,2.09,17,0.46,12,39,112,38,0.54,0.05,0.13,8.4,0.3,0.038,0.043,0.715,0.14,0.056,9,4,5,12,10.4,0.15,878,44,0,213,420,0,42,0,2.62,0,2,29.3,0.486,0.594,0.193,7,16,1 tbsp,28.35,1 oz
03045,"BABYFOOD,DINNER,MACARONI&TOMATO&BF,JR",86.7,59,2.5,1.1,0.3,9.4,1.1,2.43,14,0.36,7,44,72,35,0.36,0.039,,8.4,1.5,0.048,0.055,0.751,,0.047,9,3,7,11,10.4,0.24,691,35,0,154,338,0,250,12,0.81,0,1,6.7,0.411,0.447,0.079,4,16,1 tbsp,28.35,1 oz
03046,"BABYFOOD,RAVIOLI,CHS FILLED,W/TOMATO SAU",76.5,99,3.6,2.2,1.4,16.3,0.1,0.59,54,0.8,7,56,32,282,0.35,0.04,,13.4,0.1,0.12,0.14,1.65,,0.09,36,0,36,36,8,0.05,494,51,32,2,230,3,1632,69,0.42,0,1,9.4,0.96,0.57,0.48,7,16,1 tbsp,8,1 piece
03047,"BABYFOOD,DINNER,BF NOODLE,STR",86.84,63,2.44,2.26,0.28,8.18,1.3,1.42,10,0.41,10,38,87,15,0.6,0.05,0.12,3.6,0.1,0.035,0.035,0.616,0.101,0.036,8,4,4,11,8.6,0.19,716,36,0,159,350,0,476,23,0.31,0,0,1.6,0.937,0.941,0.141,8,16,1 tbsp,28.35,1 oz
03048,"BABYFOOD,MACARONI&CHS,TODD",81.7,82,3.5,2.6,1,11.2,0.5,0.79,102,0.6,9,81,18,112,0.43,0.041,,6.6,0,0.04,0.09,0.79,,0.05,25,22,3,40,3.2,0.06,73,19,19,0,6,0,0,2,0.03,0,2,0.2,1.53,0.7,0.17,7,113,1 container,,
03049,"BABYFOOD,DINNER,BF&RICE,TODD",81.9,82,5,2.9,1.4,8.8,,0,11,0.69,8,35,120,32,0.92,0.054,,8.4,3.9,0.016,0.069,1.343,,0.139,6,0,6,6,,0.51,502,25,0,,,,,,,,,,,,,,28.35,1 oz,170,1 jar
03050,"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JR",84.17,68,2.57,1.37,0.47,11.42,1.1,2.72,15,0.53,11,35,122,30,0.53,0.03,0.12,8.4,0.2,0.048,0.068,0.967,0.086,0.064,27,24,3,44,7.7,0.03,1255,63,0,304,601,0,1030,0,0.07,0,1,0.8,0.543,0.497,0.185,5,16,1 tbsp,28.35,1 oz
03051,"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,TODD",81.6,75,5.3,1,1.3,10.8,,,22,0.9,15,45,163,239,0.48,0.02,,8.4,4.1,0.062,0.101,1.558,,0.083,32,26,6,50,,0.23,443,22,0,,,,,,,,,,,,,,28.35,1 oz,170,1 jar
03052,"BABYFOOD,DINNER,BF STEW,TODD",86.9,51,5.1,1.2,1.4,5.5,1.1,1.39,9,0.72,11,44,142,106,0.87,0.072,,4.5,3,0.014,0.065,1.313,,0.074,6,0,6,6,16.5,0.51,1649,82,0,346,816,0,2575,26,0.5,0,1,2.5,0.58,0.44,0.1,13,28.35,1 oz,170,1 jar
03053,"BABYFOOD,DINNER,VEG&BF,STR",84.94,77,2.21,3.6,0.41,8.84,1.3,2.34,17,0.35,10,33,145,31,0.38,0.03,0.18,2.2,0.2,0.008,0.048,0.789,0.099,0.063,6,3,3,7,16.5,0.18,4926,246,0,810,2545,11,627,51,0.49,0,1,5.2,0.87,0.82,0.19,7,256,1 cup,16,1 tbsp
03054,"BABYFOOD,DINNER,VEG&BF,JR",84.94,77,2.21,3.6,0.41,8.84,1.3,2.34,17,0.35,10,33,145,31,0.38,0.03,0.106,2.2,0.2,0.008,0.048,0.789,0.099,0.063,6,3,3,7,16.5,0.33,4926,246,0,810,2545,11,627,51,0.49,0,1,5.2,1.367,1.289,0.298,7,256,1 cup,16,1 tbsp
03055,"BABYFOOD,DINNER,BF W/VEG",84.3,96,2.03,6.93,0.38,6.36,1.8,2.16,19,0.33,15,24,127,38,0.35,0.036,0.006,2.2,0,0.03,0.06,0.7,0.259,0.083,11,0,11,11,9.9,0.09,4436,222,0,993,2165,0,0,58,0.57,0,1,11.6,2.84,3.12,0.9,12,113,"1 jar,  Beech-Nut Stage 2 (4 oz)",,
03059,"BABYFOOD,DINNER,VEG&BACON,STR",85.75,69,1.92,2.95,0.4,8.81,1.7,1.77,14,0.3,10,28,116,49,0.3,0.04,0.14,1.7,0.3,0.032,0.039,0.474,0.16,0.058,3,0,3,3,16.4,0.06,2284,114,0,515,1112,0,1,225,0.51,0,1,9.1,1.063,1.347,0.377,4,256,1 cup,16,1 tbsp
03061,"BABYFOOD,DINNER,VEG&HAM,STR",87.47,59,2.19,2.14,0.41,7.8,1.6,1.37,16,0.41,12,33,141,16,0.32,0.07,0.14,2.4,1.6,0.035,0.054,0.676,0.151,0.072,3,0,3,3,12.7,0.06,2872,144,0,645,1401,0,685,49,0.31,0.1,4,2.7,0.764,0.963,0.234,5,256,1 cup,16,1 tbsp
03062,"BABYFOOD,DINNER,VEG&HAM,JR",87,60,2.02,1.89,0.45,8.64,1,0.99,14,0.24,8,33,97,45,0.3,0.03,0.07,2.4,1.1,0.032,0.04,0.512,,0.046,8,0,8,8,4.2,0.03,2872,144,0,645,1401,0,685,49,0.31,0,1,2.7,0.483,0.811,0.448,3,256,1 cup,16,1 tbsp
03066,"BABYFOOD,DINNER,VEG&LAMB,STR",88.6,52,2,2,0.5,6.9,1.1,0.94,12,0.35,7,49,94,20,0.22,0.029,,2.4,1.2,0.018,0.034,0.529,0.16,0.046,4,0,4,4,9.5,0.16,1995,100,0,443,976,0,947,34,0.24,0,0,2.3,0.828,0.822,0.167,6,256,1 cup,16,1 tbsp
03067,"BABYFOOD,DINNER,VEG&LAMB,JR",88.6,51,2.1,1.7,0.5,7.1,1.1,0.94,13,0.34,7,49,95,13,0.22,0.029,,2.4,1.7,0.021,0.032,0.554,0.159,0.044,4,0,4,4,,0.16,1483,138,76,,,,,,0.24,0,0,,0.696,0.69,0.154,5,28.35,1 oz,170,1 jar
03068,"BABYFOOD,DINNER,CHICK NOODLE,STR",85.64,66,2.69,2.06,0.53,9.08,2.1,2.5,27,0.64,14,46,139,38,0.55,0.07,0.16,3.7,0.1,0.044,0.061,0.723,0.198,0.064,11,3,8,13,10.5,0.02,2182,110,1,495,1060,0,0,40,0.21,0.1,3,1.9,0.595,0.854,0.461,16,16,1 tbsp,28.35,1 oz
03069,"BABYFOOD,DINNER,CHICK NOODLE,JR",87.25,55,2.37,1.18,0.41,8.79,0.9,1.07,21,0.38,7,79,39,35,0.4,0.03,0.1,3.7,0.1,0.032,0.04,0.703,0.178,0.052,7,2,5,8,7.7,0.01,1729,87,1,392,840,0,0,32,0.15,0,2,1.6,0.338,0.467,0.272,9,16,1 tbsp,28.35,1 oz
03070,"BABYFOOD,DINNER,CHICK SOUP,STR",89.1,50,1.6,1.7,0.4,7.2,1.1,1.72,37,0.27,5,24,66,16,0.22,0.279,,1.4,1,0.017,0.032,0.293,,0.037,5,0,5,5,6.4,0.12,1384,69,0,313,674,0,0,40,0.51,0.1,3,6.9,0.278,0.425,0.9,4,113,"1 jar,  Beech-Nut Stage 2 (4 oz)",16,1 tbsp
03072,BABYFOOD  DINNER  CHICK STEW  TODD,83.3,78,5.2,3.7,1.4,6.4,0.6,1.68,36,0.66,10,51,92,25,0.41,0.02,,5.5,1.9,0.031,0.074,1.153,,0.046,16,15,1,27,20.6,0.14,1010,52,2,214,495,0,0,178,0.22,0.2,7,3.7,1.1,1.7,0.77,29,16,1 tbsp,28.35,1 oz
03073,"BABYFOOD,DINNER,VEG CHICK,STR",86.9,59,2.47,1.73,0.49,8.42,2.1,1.58,27,0.53,14,47,158,24,0.48,0.07,0.15,2.8,0.1,0.032,0.052,0.72,0.107,0.072,5,0,5,5,9.7,0.01,4132,207,0,938,2009,0,0,72,0.32,0.1,3,3.4,0.496,0.712,0.374,11,256,1 cup,16,1 tbsp
03075,"BABYFOOD,DINNER,VEG,NOODLES&CHICK,STR",87.2,63,2,2.5,0.4,7.9,1.1,,28,0.35,10,31,55,20,0.25,0.054,,3.2,0.7,0.032,0.049,0.407,0.19,0.021,3,0,3,3,,0.08,1417,71,0,,,,,,,,,,,,,,28.35,1 oz,113,1 jar
03076,"BABYFOOD,DINNER,VEG,NOODLES&CHICK,JR",86.2,64,1.7,2.2,0.7,9.1,1.1,,26,0.49,11,33,59,26,0.32,0.058,,3.2,0.8,0.042,0.037,0.675,0.204,0.023,3,0,3,3,,0.09,1051,53,0,,,,,,,,,,,,,,28.35,1 oz,170,1 jar
03077,"BABYFOOD,DINNER,PASTA W/VEG",87.3,60,1.7,2.1,0.41,8.4,1.5,1.2,14,0.5,24,50,133,11,0.4,0.11,0.39,6.4,2.9,0.06,0.05,0.56,0.178,0.11,9,0,9,9,6.4,0,555,41,16,39,282,0,290,341,0.23,0,0,2.1,1.23,0.58,0.144,5,113,"1 jar,  Gerber (4 oz)",,
03079,"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,STR",90.3,44,1.2,1.2,0.4,6.8,1.1,,32,0.19,8,25,63,21,0.27,0.022,,2.8,0.8,0.018,0.044,0.25,0.186,0.016,2,0,2,2,,0.1,991,50,0,,,,,,,,,,,,,,28.35,1 oz,113,1 jar
03081,"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,JR",88.7,52,1.8,1.5,0.4,7.6,1.1,,32,0.26,9,29,73,17,0.3,0.026,,2.8,0.8,0.024,0.04,0.299,0.217,0.018,3,0,3,3,,0.12,994,50,0,,,,,,,,,,,,,,28.35,1 oz,170,1 jar
03082,"BABYFOOD,DINNER,TURKEY&RICE,STR",88.22,52,2.27,1.24,0.33,7.94,0.9,1.66,18,0.29,8,34,91,19,0.4,0.03,0.13,3,0.2,0.022,0.04,0.648,0.177,0.052,4,0,4,4,6.8,0.02,1622,81,0,368,789,0,0,38,0.14,0,0,1.5,0.338,0.446,0.308,5,16,1 tbsp,28.35,1 oz
03083,"BABYFOOD,DINNER,TURKEY & RICE,JR",86.64,56,2.37,0.92,0.5,9.57,1,1.25,24,0.41,9,37,86,23,0.47,0.03,0.12,3.3,0.3,0.033,0.044,0.692,0.2,0.052,8,0,8,8,7.7,0.02,1886,94,0,410,927,0,1127,134,0.31,0,0,3,0.239,0.304,0.233,4,16,1 tbsp,28.35,1 oz
03084,"BABYFOOD,DINNER,VEG&TURKEY,STR",88.82,48,2.32,0.9,0.35,7.62,1.5,1.54,27,0.37,13,44,102,20,0.7,0.09,0.14,1.9,0.7,0.02,0.024,0.466,0.224,0.044,10,0,10,10,6.7,0.02,4396,220,0,998,2139,0,0,76,0.3,0,1,3.9,0.236,0.294,0.241,4,256,1 cup,16,1 tbsp
03085,"BABYFOOD,DINNER,VEG&TURKEY,JR",88.5,53,1.72,1.74,0.49,7.55,0.9,1.36,16,0.36,9,32,98,45,0.3,0.02,0.06,1.9,0.4,0.022,0.032,0.539,0.162,0.052,7,0,7,7,9.4,0.01,4325,216,0,976,2107,0,0,174,0.31,0,0,4.8,0.485,0.687,0.391,4,256,1 cup,16,1 tbsp
03089,"BABYFOOD,DINNER,MACARONI&CHS,STR",85.25,67,3.14,2.11,0.55,8.95,0.7,1.27,66,0.21,8,86,67,119,0.4,0.02,0.09,3.8,0.1,0.038,0.076,0.516,0.176,0.036,11,6,5,15,10.5,0.27,56,15,14,0,5,0,0,0,0.02,0,2,0.2,1.291,0.581,0.103,7,28.35,1 oz,113,1 jar
03090,"BABYFOOD,DINNER,MACARONI&CHS,JR",86.5,61,2.6,2,0.7,8.2,0.3,1.32,51,0.3,7,59,44,266,0.32,0.021,,3.8,1.3,0.056,0.064,0.545,,0.016,11,10,2,18,3.2,0.03,106,30,29,0,5,0,0,1,0.03,0,2,0.2,1.175,0.534,0.132,6,28.35,1 oz,170,1 jar
03091,"BABYFOOD,VEG,GRN BNS,STR",91.85,27,1.2,0.17,0.49,6.29,2.2,1.88,39,0.67,20,41,146,7,0.22,0.03,0.265,0.1,0.3,0.026,0.079,0.361,0.041,0.038,24,0,24,24,22.6,0,355,18,0,15,197,17,0,526,0.07,0,0,42.4,0.039,0,0.116,0,240,1 cup,15,1 tbsp
03092,"BABYFOOD,VEG,GRN BNS,JR",92.5,24,1.2,0.1,0.4,5.8,1.9,1.08,65,1.08,22,19,128,5,0.19,0.049,,0.3,8.4,0.021,0.102,0.321,0.151,0.035,33,0,33,33,22.6,0,433,24,0,0,292,0,0,493,0.32,0,0,11.1,0.023,0.004,0.052,0,240,1 cup,15,1 tbsp
03093,"BABYFOOD,GRN BNS,DICES,TODD",92.6,29,1.2,0.2,0.4,5.7,1.3,1.06,27,0.4,19,22,116,37,0.1,0.03,0.08,0.4,1.7,0.02,0.04,0.23,0.051,0.03,32,0,32,32,22.6,0,481,24,0,0,288,0,0,487,0.31,0,0,11,0.044,0.008,0.102,0,28.35,1 oz,128,1 jar
03096,"BABYFOOD,VEG,GRN BNS&POTATOES",86.2,62,2.2,1.9,0.7,9,1.4,2.35,60,0.5,20,61,148,18,0.3,0.04,0.28,0.7,1.1,0.04,0.11,0.46,0.286,0.08,10,0,10,10,10,0.15,85,14,12,0,28,0,0,50,0.08,0,0,1.4,1.117,0.539,0.132,5,113,"1 jar,  Gerber (4 oz)",,
03098,"BABYFOOD,VEG,BEETS,STR",90.1,34,1.3,0.1,0.9,7.7,1.9,6.09,14,0.32,14,14,182,83,0.12,0.07,,0.1,2.4,0.011,0.043,0.132,0.1,0.024,31,0,31,31,4.8,0,27,1,0,0,16,0,0,0,0.03,0,0,0.2,0.016,0.019,0.036,0,224,1 cup,14,1 tbsp
03099,"BABYFOOD,VEG,CARROTS,STR",92.3,26,0.8,0.1,0.8,6,1.7,3.64,22,0.37,9,20,196,69,0.15,0.041,,0.2,5.7,0.023,0.04,0.463,0.24,0.073,15,0,15,15,6.9,0,11461,573,0,2602,5575,0,0,0,0.52,0,0,14.4,0.018,0.004,0.047,0,224,1 cup,14,1 tbsp
03100,"BABYFOOD,VEG,CARROTS,JR",91,32,0.8,0.2,0.7,7.2,1.7,3.16,23,0.39,11,20,202,49,0.18,0.047,,0.2,5.5,0.024,0.041,0.497,0.278,0.08,17,0,17,17,8,0,11810,591,0,2682,5745,0,0,230,0.52,0,0,12.5,0.036,0.009,0.093,0,224,1 cup,14,1 tbsp
03104,"BABYFOOD,VEG,SQUASH,STR",92.66,28,0.81,0.2,0.6,5.73,0.9,3.37,24,0.32,14,21,185,5,0.19,0.03,0.083,0.2,0.3,0.029,0.048,0.683,0.212,0.07,8,0,8,8,7.6,0,1703,85,0,242,896,9,0,3527,0.55,0,0,4.7,0.02,0.02,0.04,0,16,1 tbsp,28.35,1 oz
03105,"BABYFOOD,VEG,SQUASH,JR",92.66,24,0.81,0.2,0.6,5.73,0.9,3.24,24,0.32,14,21,185,5,0.19,0.03,0.083,0.2,0.3,0.029,0.048,0.683,0.212,0.07,8,0,8,8,7.6,0,1703,85,0,242,896,9,0,3527,0.55,0,0,4.7,0.02,0.02,0.04,0,16,1 tbsp,28.35,1 oz
03108,"BABYFOOD,VEG,SWT POTATOES,STR",84.8,57,1.1,0.1,0.8,13.2,1.5,4.05,16,0.37,13,24,263,22,0.21,0.081,,0.7,9.9,0.028,0.033,0.358,0.39,0.093,10,0,10,10,13.1,0,6438,322,0,0,3863,0,0,0,0.52,0,0,1.4,0.021,0.004,0.044,0,224,1 cup,14,1 tbsp
03109,"BABYFOOD,VEG,SWT POTATOES,JR",84.1,60,1.1,0.1,0.7,14,1.5,4.24,16,0.39,12,24,243,18,0.11,0.1,,0.7,9.6,0.026,0.034,0.384,0.408,0.113,10,0,10,10,13.1,0,6636,332,0,0,3982,0,0,0,0.52,0,0,1.5,0.021,0.004,0.044,0,224,1 cup,14,1 tbsp
03112,"BABYFOOD,POTATOES,TODDLER",86.8,52,1,0.1,0.37,11.73,0.9,0.91,4,0.2,15,23,110,57,0.17,0.07,0.07,0.8,10.5,0.02,0.01,0.35,0.305,0.07,6,0,6,6,13.2,0,0,0,0,0,0,0,0,0,0.02,0,0,0.2,0.015,0.002,0.025,0,163,1 cup,10,1 tbsp
03114,"BABYFOOD,VEG,BUTTERNUT SQUASH&CORN",87.3,50,2,0.6,0.84,9.26,2,2.93,32,0.4,26,35,352,5,0.3,0.1,0.12,0.6,4.9,0.06,0.06,0.56,0.314,0.11,23,0,23,23,12.5,0,2793,140,0,362,1476,38,0,970,0.08,0,0,2.4,0.095,0.166,0.28,0,113,"1 jar,  Gerber (4 oz)",,
03115,"BABYFOOD,APPLS,DICES,TODD",87.5,51,0.2,0.1,0.13,12.1,0.9,10.83,10,0.2,6,13,50,6,0.04,0.02,0.04,0.3,31.3,0.01,0.02,0.08,0.039,0.05,1,0,1,1,3.4,0,31,2,0,0,14,10,0,19,0.23,0,0,0.6,0.02,0.004,0.03,0,28.35,1 oz,,
03116,"BABYFOOD,FRUIT,APPLSAUC,STR",88.6,41,0.2,0.2,0.2,10.8,1.7,9.87,4,0.22,3,7,71,0,0.02,0.038,,0.3,38.3,0.012,0.028,0.061,0.11,0.031,2,0,2,2,3.4,0,28,1,0,0,12,9,0,17,0.6,0,0,0.5,0.032,0.008,0.056,0,16,1 tbsp,28.35,1 oz
03117,"BABYFOOD,FRUIT,APPLSAUC,JR",89.5,37,0,0,0.2,10.3,1.7,8.48,5,0.22,3,6,77,1,0.04,0.035,,0.3,37.8,0.012,0.027,0.063,0.1,0.03,2,0,2,2,3.4,0,9,0,0,0,2,2,0,9,0.6,0,0,0.3,0,0,0,0,16,1 tbsp,28.35,1 oz
03118,"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,STR",83.1,60,0.3,0,0.3,16.3,1.5,1.41,9,0.3,4,10,121,0,0.05,0.034,,0.3,21.6,0.008,0.013,0.195,0.13,0.03,2,0,2,2,1.3,0,725,36,0,7,412,39,0,11,0.1,0,0,0.4,0,0,0,0,15,1 tbsp,28.35,1 oz
03119,"BABYFOOD,VEG,CORN,CRMD,STR",83.6,57,1.4,0.4,0.5,14.1,2.1,1.23,20,0.28,8,33,90,43,0.19,0.034,,1.3,2.1,0.013,0.047,0.512,0.29,0.041,17,0,17,17,8.6,0.02,69,5,2,20,26,5,0,357,0.04,0,0,0,0.076,0.116,0.176,1,113,1 jar,15,1 tbsp
03120,"BABYFOOD,VEG,CORN,CRMD,JR",81.4,65,1.4,0.4,0.55,16.25,2.1,1.48,4,0.27,8,33,81,52,0.23,0.038,,1.3,2.2,0.013,0.048,0.504,0.327,0.041,20,0,20,20,8.6,0.02,34,2,0,10,13,3,0,423,0.04,0,0,0,0.074,0.116,0.178,1,240,1 cup,15,1 tbsp
03121,"BABYFOOD,VEG,PEAS,STR",87.52,50,3.27,0.43,0.42,8.36,2,2.01,18,0.95,17,50,106,5,0.47,0.061,0.218,0.1,0.6,0.087,0.065,1.119,0.075,0.016,28,0,28,28,32.2,0,216,11,0,11,124,0,0,1465,0.02,0,0,15.5,0.07,0.05,0.2,0,16,1 tbsp,28.35,1 oz
03122,"BABYFOOD,PEAS,DICES,TODD",84.6,64,3.9,0.8,0.35,10.3,3.9,4.13,21,1,19,67,81,48,0.5,0.08,0.15,0.1,6,0.1,0.06,0.85,0.345,0.06,35,0,35,35,14.7,0,304,15,0,8,178,0,0,1805,0.45,0,0,18,0.14,0.07,0.37,0,28.35,1 oz,,
03127,"BABYFOOD,VEG,SPINACH,CRMD,STR",89.6,37,2.5,1.3,1,5.7,1.8,2.33,89,0.62,55,54,191,49,0.31,0.06,,2.4,8.7,0.015,0.104,0.216,,0.075,61,0,61,61,16.1,0.06,4170,227,23,0,2456,0,0,4505,0.83,0,0,196.7,0.702,0.332,0.133,5,240,1 cup,15,1 tbsp
03128,"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,JR",82.1,63,0.3,0,0.4,17.3,1.5,1.4,8,0.27,4,10,125,0,0.04,0.036,,0.3,17.9,0.008,0.013,0.196,0.138,0.028,2,0,2,2,1.2,0,723,36,0,7,411,39,0,12,0.6,0,0,0.4,0,0,0,0,15,1 tbsp,28.35,1 oz
03129,"BABYFOOD,FRUIT,BANANAS W/TAPIOCA,STR",84,56,0.4,0.1,0.3,15.3,1.6,0.38,5,0.2,10,7,88,0,0.06,0.04,,0.6,16.7,0.012,0.031,0.183,0.15,0.115,6,0,6,6,4.1,0,43,2,0,17,17,0,0,0,0.6,0,0,0,0.035,0.01,0.019,0,15,1 tbsp,28.35,1 oz
03130,"BABYFOOD,FRUIT,PEACHES,STR",83.65,65,0.94,0.33,0.59,14.48,1.3,11.5,4,0.23,7,15,195,4,0.11,0.03,0.037,0.1,46.1,0.015,0.077,1.64,0.083,0.018,21,0,21,21,8.5,0,686,34,0,0,378,68,0,163,1.99,0,0,6.6,0.02,0.01,0.04,0,17,1 tbsp,28.35,1 oz
03131,"BABYFOOD,FRUIT,PEACHES,JR",83.65,65,0.94,0.33,0.59,14.48,1.3,11.5,4,0.23,7,15,195,4,0.11,0.03,0.037,0.1,46.1,0.015,0.077,1.64,0.083,0.018,21,0,21,21,8.5,0,686,34,0,0,378,68,0,163,1.99,0,0,6.6,0.02,0.01,0.04,0,17,1 tbsp,28.35,1 oz
03132,"BABYFOOD,FRUIT,PEARS,STR",88.4,42,0.3,0.2,0.3,10.8,2.8,6.98,8,0.24,8,12,130,1,0.08,0.065,,0.4,24.5,0.013,0.028,0.189,0.09,0.008,4,0,4,4,3.6,0,17,1,0,0,9,1,0,36,0.09,0,0,3.2,0.012,0.042,0.046,0,16,1 tbsp,28.35,1 oz
03133,"BABYFOOD,FRUIT,PEARS,JR",87.8,44,0.3,0.1,0.2,11.6,2.8,7.34,8,0.25,9,12,115,1,0.08,0.08,,0.4,22,0.014,0.03,0.188,0.095,0.01,4,0,4,4,2.3,0,18,1,0,0,10,1,0,38,0.6,0,0,3.4,0.006,0.021,0.023,0,16,1 tbsp,28.35,1 oz
03134,"BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,STR",80,71,0.1,0,0.24,19.7,1.2,13.34,6,0.2,4,6,85,0,0.08,0.037,,0.4,1.1,0.008,0.028,0.213,0.11,0.024,2,0,2,2,1.1,0,142,7,0,0,78,14,0,30,0.14,0,0,3.5,0,0,0,0,15,1 tbsp,28.35,1 oz
03135,"BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,JR",79.2,74,0.1,0,0.2,20.5,1.2,13.64,6,0.22,4,6,83,0,0.08,0.038,,0.4,0.8,0.006,0.03,0.206,0.114,0.029,1,0,1,1,1.1,0,94,5,0,0,52,10,0,29,0.6,0,0,3.4,0,0,0,0,15,1 tbsp,28.35,1 oz
03136,"BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,STR",80.3,69,0.6,0.1,0.5,18.5,2.7,10.97,15,0.35,10,15,177,5,0.09,0.061,,0.5,0.8,0.022,0.075,0.525,0.14,0.081,0,0,1,1,1.1,0,453,23,0,33,228,54,0,39,0.6,0,0,15.6,0.008,0.066,0.022,0,15,1 tbsp,28.35,1 oz
03137,"BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,JR",80.1,70,0.6,0.1,0.78,18.7,2.7,10.97,15,0.33,10,15,162,2,0.1,0.062,,0.5,0.8,0.022,0.083,0.526,0.141,0.086,1,0,1,1,,0,208,10,0,15,105,25,0,39,0.11,,,15.8,0.008,0.066,0.022,0,28.35,1 oz,170,1 jar
03139,"BABYFOOD,PRUNES,WO/VIT C,STR",74.3,100,1,0.2,0.98,23.52,2.7,14.28,21,0.4,17,30,306,1,0.2,0.164,,0.8,1.3,0.02,0.21,0.72,,0.11,1,0,1,1,3.7,0,60,3,0,4,30,7,0,55,0.55,0,0,22.1,0.02,0.13,0.04,0,15,1 tbsp,71,"1 jar,  Gerber First Foods (2.5 oz)"
03140,"BABYFOOD,FRUIT DSSRT,MANGO W/ TAPIOCA",80,70,0.3,0.2,0.33,19,1.1,13,8,0.2,6,4,66,4,0.03,0.03,,0.4,15.8,0.02,0.02,0.2,0.1,0.08,8,0,8,8,4.5,0,450,23,0,10,262,6,0,0,0.66,0,0,2.5,0.039,0.06,0.03,0,15,1 tbsp,28.35,1 oz
03141,"BABYFOOD,PEARS,DICES,TODD",85.6,57,0.3,0.1,0.2,13.6,1.2,8.66,10,0.2,7,13,51,6,0.09,0.04,0.03,0.4,31.3,0.01,0.02,0.13,,0.04,1,0,1,1,3.6,0,21,1,0,0,12,2,0,44,0.11,0,0,4,0.01,0.043,0.046,0,28.35,1 oz,128,"1 jar,  Gerber"
03142,"BABYFOOD,FRUIT,APPLSAUC&APRICOTS,STR",87.7,44,0.2,0.2,0.26,11.64,1.8,9.25,6,0.25,4,9,120,0,0.04,0.041,,0.3,18.9,0.014,0.029,0.14,0.119,0.03,2,0,2,2,3.1,0,339,17,0,3,189,26,0,28,0.18,0,0,1,0.024,0.037,0.045,0,16,1 tbsp,28.35,1 oz
03143,"BABYFOOD,FRUIT,APPLSAUC&APRICOTS,JR",86.9,47,0.2,0.2,0.24,12.4,1.8,8.72,6,0.26,4,10,109,0,0.03,0.044,,0.3,17.9,0.014,0.03,0.145,0.125,0.03,1,0,1,1,3.1,0,33,2,0,0,15,11,0,15,0.04,0,0,0.5,0.028,0.03,0.051,0,16,1 tbsp,28.35,1 oz
03144,"BABYFOOD,FRUIT,APPLSAUC&CHERRIES,STR",85.63,51,0,0,0.25,14.1,1.1,10.81,1,0.3,4,8,132,1,0.03,0.045,,0.3,42.8,0.01,0.03,0.14,0.131,0.037,0,0,0,0,4.6,0,45,2,0,0,25,4,0,56,0.12,0,0,2,0,0,0,0,28.35,1 oz,113,1 jar
03145,"BABYFOOD,FRUIT,APPLSAUC & CHERRIES,JR",85.6,51,0,0,0.3,14.1,1.1,10.61,1,0.3,4,8,132,1,0.03,0.046,,0.3,42.8,0.01,0.03,0.14,0.13,0.039,0,0,0,0,4.6,0,45,2,0,0,24,6,0,47,0.06,0,0,1.2,0,0,0,0,28.35,1 oz,170,1 jar
